"","colony_id","species","group","genotype","treatment","full_treatment","recovered","airbrush_volume","surface_area","A","CA","di","Cdi","D2","Dsmall","chla.ug.cm2","chlc2.ug.cm2","chla.sym","sym.cm2","prot_mg.cm2","Host_AFDW_mg.cm2","Sym_AFDW_mg.cm2","CM2.year"
"22","OFAV_PP_2HS12","OFAV","OFAV_P","2HS12","PP","OFAV_PP","p",NA,5.95821727,0.1058,0.0458,0.3813,0.232,3.02103786826156,0.167835437125642,NA,NA,NA,NA,NA,NA,NA,-0.0159
"23","OFAV_PP_2HS12","OFAV","OFAV_P","2HS12","PP","OFAV_PP","p",NA,5.95821727,0.1058,0.0458,0.3813,0.232,3.02103786826156,0.167835437125642,NA,NA,NA,NA,NA,NA,NA,1.2378
"24","OFAV_PP_2HS12","OFAV","OFAV_P","2HS12","PP","OFAV_PP","p",NA,5.95821727,0.1058,0.0458,0.3813,0.232,3.02103786826156,0.167835437125642,NA,NA,NA,NA,NA,NA,NA,2.3328
"25","OFAV_PP_2HS12","OFAV","OFAV_P","2HS12","PP","OFAV_PP","p",NA,5.95821727,0.1058,0.0458,0.3813,0.232,3.02103786826156,0.167835437125642,NA,NA,NA,NA,NA,NA,NA,2.428
"26","OFAV_PP_2HS12","OFAV","OFAV_P","2HS12","PP","OFAV_PP","p",NA,5.95821727,0.1058,0.0458,0.3813,0.232,3.02103786826156,0.167835437125642,NA,NA,NA,NA,NA,NA,NA,4.9989
"27","OFAV_PP_2HS12","OFAV","OFAV_P","2HS12","PP","OFAV_PP","p",NA,5.95821727,0.1058,0.0458,0.3813,0.232,3.02103786826156,0.167835437125642,NA,NA,NA,NA,NA,NA,NA,6.3637
"28","OFAV_PP_2HS2","OFAV","OFAV_P","2HS2","PP","OFAV_PP","p",10.2,10.65181058,0.1418,0.0596,0.4491,0.2602,2.06537656999905,0,4.22564921352554,0.846432156513245,3.61706967087414e-06,1168252.093,0.691609529,2.20244246964444,2.87275104736232,-2.9041
"29","OFAV_PP_2HS2","OFAV","OFAV_P","2HS2","PP","OFAV_PP","p",10.2,10.65181058,0.1418,0.0596,0.4491,0.2602,2.06537656999905,0,4.22564921352554,0.846432156513245,3.61706967087414e-06,1168252.093,0.691609529,2.20244246964444,2.87275104736232,0.1111
"30","OFAV_PP_2HS2","OFAV","OFAV_P","2HS2","PP","OFAV_PP","p",10.2,10.65181058,0.1418,0.0596,0.4491,0.2602,2.06537656999905,0,4.22564921352554,0.846432156513245,3.61706967087414e-06,1168252.093,0.691609529,2.20244246964444,2.87275104736232,0.857
"31","OFAV_PP_2HS2","OFAV","OFAV_P","2HS2","PP","OFAV_PP","p",10.2,10.65181058,0.1418,0.0596,0.4491,0.2602,2.06537656999905,0,4.22564921352554,0.846432156513245,3.61706967087414e-06,1168252.093,0.691609529,2.20244246964444,2.87275104736232,0.8887
"32","OFAV_PP_2HS2","OFAV","OFAV_P","2HS2","PP","OFAV_PP","p",10.2,10.65181058,0.1418,0.0596,0.4491,0.2602,2.06537656999905,0,4.22564921352554,0.846432156513245,3.61706967087414e-06,1168252.093,0.691609529,2.20244246964444,2.87275104736232,2.317
"33","OFAV_PP_2HS2","OFAV","OFAV_P","2HS2","PP","OFAV_PP","p",10.2,10.65181058,0.1418,0.0596,0.4491,0.2602,2.06537656999905,0,4.22564921352554,0.846432156513245,3.61706967087414e-06,1168252.093,0.691609529,2.20244246964444,2.87275104736232,4.0785
"34","OFAV_PP_2HS2","OFAV","OFAV_P","2HS2","PP","OFAV_PP","p",10.2,10.65181058,0.1418,0.0596,0.4491,0.2602,2.06537656999905,0,4.22564921352554,0.846432156513245,3.61706967087414e-06,1168252.093,0.691609529,2.20244246964444,2.87275104736232,6.4113
"35","OFAV_PP_2HS2","OFAV","OFAV_P","2HS2","PP","OFAV_PP","p",10.2,10.65181058,0.1418,0.0596,0.4491,0.2602,2.06537656999905,0,4.22564921352554,0.846432156513245,3.61706967087414e-06,1168252.093,0.691609529,2.20244246964444,2.87275104736232,6.6493
"36","OFAV_PP_2HS2","OFAV","OFAV_P","2HS2","PP","OFAV_PP","p",10.2,10.65181058,0.1418,0.0596,0.4491,0.2602,2.06537656999905,0,4.22564921352554,0.846432156513245,3.61706967087414e-06,1168252.093,0.691609529,2.20244246964444,2.87275104736232,8.2839
"37","OFAV_PP_2HS48","OFAV","OFAV_P","2HS48","PP","OFAV_PP","p",19.5,5.832869081,0.118,0.0488,0.406,0.2395,1.71442215848355,0,4.40813082600371,0.697375501406354,5.19632183904765e-06,848317.5143,0.580530259,3.34312320904293,4.6803724926601,0.3174
"38","OFAV_PP_2HS48","OFAV","OFAV_P","2HS48","PP","OFAV_PP","p",19.5,5.832869081,0.118,0.0488,0.406,0.2395,1.71442215848355,0,4.40813082600371,0.697375501406354,5.19632183904765e-06,848317.5143,0.580530259,3.34312320904293,4.6803724926601,2.6026
"39","OFAV_PP_2HS48","OFAV","OFAV_P","2HS48","PP","OFAV_PP","p",19.5,5.832869081,0.118,0.0488,0.406,0.2395,1.71442215848355,0,4.40813082600371,0.697375501406354,5.19632183904765e-06,848317.5143,0.580530259,3.34312320904293,4.6803724926601,5.7289
"40","OFAV_PP_2HS6","OFAV","OFAV_P","2HS6","PP","OFAV_PP","p",33,6.348189415,0.1274,0.0532,0.4346,0.2442,2.20535322511324,0,5.28098609042528,1.11816134270152,5.10075313598387e-06,1035334.577,0.805809856,6.62787406761712,4.67849934184738,-2.793
"41","OFAV_PP_2HS6","OFAV","OFAV_P","2HS6","PP","OFAV_PP","p",33,6.348189415,0.1274,0.0532,0.4346,0.2442,2.20535322511324,0,5.28098609042528,1.11816134270152,5.10075313598387e-06,1035334.577,0.805809856,6.62787406761712,4.67849934184738,-1.9837
"42","OFAV_PP_2HS6","OFAV","OFAV_P","2HS6","PP","OFAV_PP","p",33,6.348189415,0.1274,0.0532,0.4346,0.2442,2.20535322511324,0,5.28098609042528,1.11816134270152,5.10075313598387e-06,1035334.577,0.805809856,6.62787406761712,4.67849934184738,0.1428
"43","OFAV_PP_2HS6","OFAV","OFAV_P","2HS6","PP","OFAV_PP","p",33,6.348189415,0.1274,0.0532,0.4346,0.2442,2.20535322511324,0,5.28098609042528,1.11816134270152,5.10075313598387e-06,1035334.577,0.805809856,6.62787406761712,4.67849934184738,1.0791
"44","OFAV_PP_2HS6","OFAV","OFAV_P","2HS6","PP","OFAV_PP","p",33,6.348189415,0.1274,0.0532,0.4346,0.2442,2.20535322511324,0,5.28098609042528,1.11816134270152,5.10075313598387e-06,1035334.577,0.805809856,6.62787406761712,4.67849934184738,1.952
"45","OFAV_PP_2HS6","OFAV","OFAV_P","2HS6","PP","OFAV_PP","p",33,6.348189415,0.1274,0.0532,0.4346,0.2442,2.20535322511324,0,5.28098609042528,1.11816134270152,5.10075313598387e-06,1035334.577,0.805809856,6.62787406761712,4.67849934184738,3.8246
"46","OFAV_PP_2HS6","OFAV","OFAV_P","2HS6","PP","OFAV_PP","p",33,6.348189415,0.1274,0.0532,0.4346,0.2442,2.20535322511324,0,5.28098609042528,1.11816134270152,5.10075313598387e-06,1035334.577,0.805809856,6.62787406761712,4.67849934184738,6.332
"47","OFAV_PP_2HS6","OFAV","OFAV_P","2HS6","PP","OFAV_PP","p",33,6.348189415,0.1274,0.0532,0.4346,0.2442,2.20535322511324,0,5.28098609042528,1.11816134270152,5.10075313598387e-06,1035334.577,0.805809856,6.62787406761712,4.67849934184738,7.2207
"48","OFAV_PP_310","OFAV","OFAV_P","310","PP","OFAV_PP","p",12.4,5.596100279,0.1308,0.0506,0.4553,0.2544,3.21652563438633,0.357391737154037,7.37453666109808,1.72901118950803,4.16014583399989e-06,1772663.016,0.925470535,3.43453459405029,6.42590343402958,-7.7285
"49","OFAV_PP_310","OFAV","OFAV_P","310","PP","OFAV_PP","p",12.4,5.596100279,0.1308,0.0506,0.4553,0.2544,3.21652563438633,0.357391737154037,7.37453666109808,1.72901118950803,4.16014583399989e-06,1772663.016,0.925470535,3.43453459405029,6.42590343402958,-3.1104
"50","OFAV_PP_310","OFAV","OFAV_P","310","PP","OFAV_PP","p",12.4,5.596100279,0.1308,0.0506,0.4553,0.2544,3.21652563438633,0.357391737154037,7.37453666109808,1.72901118950803,4.16014583399989e-06,1772663.016,0.925470535,3.43453459405029,6.42590343402958,0.2063
"51","OFAV_PP_310","OFAV","OFAV_P","310","PP","OFAV_PP","p",12.4,5.596100279,0.1308,0.0506,0.4553,0.2544,3.21652563438633,0.357391737154037,7.37453666109808,1.72901118950803,4.16014583399989e-06,1772663.016,0.925470535,3.43453459405029,6.42590343402958,2.7137
"52","OFAV_PP_310","OFAV","OFAV_P","310","PP","OFAV_PP","p",12.4,5.596100279,0.1308,0.0506,0.4553,0.2544,3.21652563438633,0.357391737154037,7.37453666109808,1.72901118950803,4.16014583399989e-06,1772663.016,0.925470535,3.43453459405029,6.42590343402958,3.6659
